POS_NEW,POS_7DAYAVG,NEG_NEW,NEG_7DAYAVG,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_NEW,HOSP_NO_NEW,HOSP_UNK_NEW,POS_FEM_NEW,POS_MALE_NEW,INCREASE
3474,2715,7128,4783,40,35.71,10602,7498,136,2153,1185,1816,1650,0
3046,2996.14,5568,5010.43,36,40.71,8614,8006.57,120,1916,1010,1638,1392,0
1832,2908.43,5630,5508.71,2,40.29,7462,8417.14,52,1047,733,968,860,0
1456,2915.43,3998,5722,5,39.71,5454,8637.43,56,646,754,771,683,1
2790,2827.86,3846,5585,49,33.14,6636,8412.86,149,2248,393,1386,1398,0
2134,2646.14,5293,5402.86,37,29.86,7427,8049,122,1249,763,1108,1032,1
2712,2492,6987,5492.86,42,30.14,9699,7984.86,99,1495,1118,1400,1304,0
2269,2319.86,5771,5299,32,29,8040,7618.86,119,1394,756,1084,1181,0
1937,2161.43,5095,5231.43,128,42.14,7032,7392.86,103,1395,439,1030,907,0
1606,2129.14,5068,5151.14,1,42,6674,7280.29,50,1043,513,845,758,0
1083,2075.86,4049,5158.43,19,44,5132,7234.29,54,542,487,532,546,1
1525,1895.14,3556,5117,42,43,5081,7012.14,114,1219,192,793,728,0
1522,1807.71,5123,5092.71,50,44.86,6645,6900.43,119,1091,312,832,686,1
2177,1731.29,6510,5024.57,45,45.29,8687,6755.86,82,1294,801,1090,1086,0
2070,1702.86,6312,5101.86,36,45.86,8382,6804.71,91,1224,755,1040,1015,0
1681,1666.29,5779,5199.57,42,33.57,7460,6865.86,89,1065,527,883,796,0
1119,1596.71,5212,5220.14,6,34.29,6331,6816.86,67,729,323,586,533,0
946,1577.14,3253,5106.43,8,32.71,4199,6683.57,56,499,391,482,467,1
1301,1545.14,4147,5190.86,54,34.43,5448,6736,135,975,191,662,635,1
1328,1517.43,5225,5205.43,34,32.14,6553,6722.86,93,842,393,696,633,1
1802,1463.86,6184,5158.86,24,29.14,7986,6622.71,87,1293,422,903,894,0
1567,1392,5373,5024.71,49,31,6940,6416.71,91,1042,434,780,783,0
1493,1365.14,4870,4894.86,33,29.71,6363,6260,89,1020,384,798,690,0
1007,1349.14,4213,4752.14,3,29.29,5220,6101.29,55,588,364,529,472,0
750,1321.14,3070,4726,1,28.29,3820,6047.14,39,383,328,379,369,1
1095,1291.71,2087,4431.71,40,26.29,3182,5723.43,123,799,173,588,504,1
1177,1270.14,4689,4355.14,14,23.43,5866,5625.29,94,853,230,575,593,1
1518,1229.57,5656,4279.71,41,25.86,7174,5509.29,80,1307,131,728,791,0
1266,1186.57,4460,4149.29,28,22.86,5726,5335.86,100,938,228,618,644,0
934,1106.71,3504,3954.14,32,22.71,4438,5060.86,90,632,212,476,457,0
671,1058.71,3856,3903.14,2,22.57,4527,4961.86,61,412,198,336,335,0
543,1029.14,3175,3918.14,1,22.57,3718,4947.29,34,287,222,267,275,1
681,970,3487,4118.14,39,22.43,4168,5088.14,102,658,-79,346,335,1
821,919.14,4992,4161.43,35,25.43,5813,5080.57,69,687,65,399,419,1
1239,879.29,5905,4197,11,21.14,7144,5076.29,52,814,373,608,631,0
938,832.43,4607,4218,11,18.71,5545,5050.43,55,733,150,460,468,0
752,806.43,3752,4253.43,10,15.57,4504,5059.86,71,695,-14,364,379,0
503,782.43,3683,4228.71,1,15.43,4186,5011.14,34,378,91,255,251,0
405,762.71,3681,4301,4,15.86,4086,5063.71,38,241,126,185,220,1
624,754.57,2594,4173.43,38,15.71,3218,4928,82,694,-152,317,308,1
657,731.14,4228,4064.29,10,12.14,4885,4795.43,76,612,-31,328,330,1
733,658.86,4814,3908.43,18,13.14,5547,4567.29,58,657,18,353,385,1
774,635.43,4535,3898.14,35,16.57,5309,4533.57,79,714,-19,421,355,0
676,624.57,4126,3951.57,17,17.57,4802,4576.14,81,679,-84,330,351,0
403,610.29,3862,3977.14,0,17.43,4265,4587.43,27,243,133,199,204,1
423,612.86,3251,3915.71,0,16.86,3674,4528.57,32,213,178,213,206,1
566,604.57,2987,3971.86,33,16.14,3553,4576.43,63,676,-173,277,294,1
